"","date","china_average","seoul_average"
"676","2015/8/16",107.666666666667,28
"677","2015/8/17",101.5,23
"678","2015/8/18",82.9444444444444,39
"679","2015/8/19",79,37
"680","2015/8/2",64.2222222222222,34
"681","2015/8/20",92.5,31
"682","2015/8/21",97.9444444444444,40
"683","2015/8/22",65.3333333333333,39
"684","2015/8/23",69.3888888888889,33
"685","2015/8/24",60.2222222222222,8
"686","2015/8/25",60.4444444444444,10
"687","2015/8/26",69.3888888888889,22
"688","2015/8/27",81.6111111111111,31
"689","2015/8/28",74.2777777777778,35
"690","2015/8/29",78.1111111111111,36
"691","2015/8/3",61.1111111111111,28
"692","2015/8/30",71.9444444444444,37
"693","2015/8/31",50.2222222222222,27
"694","2015/8/4",90.2222222222222,35
"695","2015/8/5",60.1666666666667,36
"696","2015/8/6",71,42
"697","2015/8/7",63.7222222222222,36
"698","2015/8/8",60.0555555555556,22
"699","2015/8/9",66.3333333333333,31
"700","2015/9/1",53.4444444444444,27
"701","2015/9/10",54.1666666666667,44
"702","2015/9/11",58.0555555555556,22
"703","2015/9/12",72,23
"704","2015/9/13",86.2222222222222,35
"705","2015/9/14",73.3333333333333,30
"706","2015/9/15",82.5,17
"707","2015/9/16",92.7222222222222,13
"708","2015/9/17",102.444444444444,19
"709","2015/9/18",107.333333333333,34
"710","2015/9/19",95.2777777777778,52
"711","2015/9/2",67.8888888888889,26
"712","2015/9/20",102.555555555556,53
"713","2015/9/21",85.6666666666667,46
"714","2015/9/22",86,45
"715","2015/9/23",126.888888888889,42
"716","2015/9/24",104.444444444444,38
"717","2015/9/25",83.4444444444444,53
"718","2015/9/26",102.722222222222,39
"719","2015/9/27",90.5,33
"720","2015/9/28",71.7222222222222,28
"721","2015/9/29",63.5,19
"722","2015/9/3",83.4444444444444,33
"723","2015/9/30",69.2222222222222,18
"724","2015/9/4",58.2777777777778,36
"725","2015/9/5",60.1666666666667,15
"726","2015/9/6",62.7777777777778,13
"727","2015/9/7",78.3333333333333,13
"728","2015/9/8",76.1666666666667,17
"729","2015/9/9",80.7777777777778,30
"730","2016/1/10",84.5555555555556,43
"731","2016/1/11",76.7777777777778,53
"732","2016/1/12",115.333333333333,42
"733","2016/1/13",185.5,50
"734","2016/1/14",198.222222222222,51
"735","2016/1/15",217.111111111111,70
