"","year","month","re_china_average","re_seoul_average"
"654","2015"," 7",69.6111111111111,40
"655","2015"," 7",71.6666666666667,36
"656","2015"," 7",64.2777777777778,68
"657","2015"," 7",75.2777777777778,34
"658","2015"," 7",51.9444444444444,59
"659","2015"," 7",82.8333333333333,51
"660","2015"," 7",85.8888888888889,38
"661","2015"," 7",100.333333333333,33
"662","2015"," 7",97.2777777777778,39
"663","2015"," 7",101.222222222222,11
"664","2015"," 7",93.2222222222222,11
"665","2015"," 7",88.8333333333333,19
"666","2015"," 8",81.1666666666667,34
"667","2015"," 8",78.6111111111111,59
"668","2015"," 8",93.7777777777778,53
"669","2015"," 8",106.444444444444,43
"670","2015"," 8",97.5,41
"671","2015"," 8",81.6666666666667,59
"672","2015"," 8",97.6666666666667,67
"673","2015"," 8",107.666666666667,28
"674","2015"," 8",101.5,23
"675","2015"," 8",82.9444444444444,39
"676","2015"," 8",79,37
"677","2015"," 8",64.2222222222222,34
"678","2015"," 8",92.5,31
"679","2015"," 8",97.9444444444444,40
"680","2015"," 8",65.3333333333333,39
"681","2015"," 8",69.3888888888889,33
"682","2015"," 8",60.2222222222222,8
"683","2015"," 8",60.4444444444444,10
"684","2015"," 8",69.3888888888889,22
"685","2015"," 8",81.6111111111111,31
"686","2015"," 8",74.2777777777778,35
"687","2015"," 8",78.1111111111111,36
"688","2015"," 8",61.1111111111111,28
"689","2015"," 8",71.9444444444444,37
"690","2015"," 8",50.2222222222222,27
"691","2015"," 8",90.2222222222222,35
"692","2015"," 8",60.1666666666667,36
"693","2015"," 8",71,42
"694","2015"," 8",63.7222222222222,36
"695","2015"," 8",60.0555555555556,22
"696","2015"," 8",66.3333333333333,31
"697","2015"," 9",53.4444444444444,27
"698","2015"," 9",54.1666666666667,44
"699","2015"," 9",58.0555555555556,22
"700","2015"," 9",72,23
"701","2015"," 9",86.2222222222222,35
"702","2015"," 9",73.3333333333333,30
"703","2015"," 9",82.5,17
"704","2015"," 9",92.7222222222222,13
"705","2015"," 9",102.444444444444,19
"706","2015"," 9",107.333333333333,34
"707","2015"," 9",95.2777777777778,52
"708","2015"," 9",67.8888888888889,26
"709","2015"," 9",102.555555555556,53
"710","2015"," 9",85.6666666666667,46
"711","2015"," 9",86,45
"712","2015"," 9",126.888888888889,42
"713","2015"," 9",104.444444444444,38
"714","2015"," 9",83.4444444444444,53
"715","2015"," 9",102.722222222222,39
"716","2015"," 9",90.5,33
"717","2015"," 9",71.7222222222222,28
"718","2015"," 9",63.5,19
"719","2015"," 9",83.4444444444444,33
"720","2015"," 9",69.2222222222222,18
"721","2015"," 9",58.2777777777778,36
"722","2015"," 9",60.1666666666667,15
"723","2015"," 9",62.7777777777778,13
"724","2015"," 9",78.3333333333333,13
"725","2015"," 9",76.1666666666667,17
"726","2015"," 9",80.7777777777778,30
"727","2016"," 1",84.5555555555556,43
"728","2016"," 1",76.7777777777778,53
"729","2016"," 1",115.333333333333,42
"733","2016"," 1",147.388888888889,71
"734","2016"," 1",92.2777777777778,56
"735","2016"," 1",103.444444444444,37
"736","2016"," 1",96.7222222222222,42
"737","2016"," 1",99.8888888888889,53
"738","2016"," 1",107.5,55
"739","2016"," 1",67.8333333333333,35
"740","2016"," 1",70,43
"741","2016"," 1",92.6666666666667,55
"742","2016"," 1",113.944444444444,77
"743","2016"," 1",142.777777777778,66
"744","2016"," 1",150.222222222222,60
"745","2016"," 1",100.444444444444,54
"746","2016"," 1",68.5,42
"747","2016"," 1",126.5,47
"748","2016"," 1",73.6666666666667,44
"749","2016"," 1",96.6111111111111,43
"750","2016"," 1",102.777777777778,34
"751","2016"," 1",124.666666666667,58
"752","2016"," 1",100.444444444444,45
"753","2016"," 1",137.444444444444,36
"756","2016","10",70.2222222222222,35
"757","2016","10",85.4444444444444,45
"758","2016","10",107,59
"759","2016","10",112.944444444444,46
"760","2016","10",100.722222222222,70
"761","2016","10",78.4444444444444,79
"762","2016","10",63.2222222222222,60
"763","2016","10",98.4444444444444,57
"764","2016","10",121.111111111111,60
"765","2016","10",111.166666666667,66
"766","2016","10",92.3333333333333,67
"767","2016","10",84.2777777777778,19
"768","2016","10",64.7222222222222,27
"769","2016","10",53.5,35
"770","2016","10",46.6666666666667,13
"771","2016","10",63.3888888888889,19
"772","2016","10",73.3888888888889,17
"773","2016","10",94.8333333333333,46
"774","2016","10",64.8333333333333,52
"775","2016","10",48.6111111111111,43
"776","2016","10",60.5555555555556,41
"777","2016","10",76.7777777777778,28
"778","2016","10",86.2777777777778,36
"779","2016","10",54,34
"780","2016","10",61.0555555555556,25
"781","2016","10",76.2222222222222,28
"782","2016","10",65.7222222222222,44
"783","2016","10",62.6111111111111,30
"784","2016","10",62,23
"785","2016","10",65.8888888888889,20
"786","2016","10",80.2222222222222,30
"787","2016","11",96,39
"788","2016","11",105.5,50
"789","2016","11",131.611111111111,75
"790","2016","11",168.611111111111,64
"791","2016","11",159.944444444444,55
"792","2016","11",90,62
"793","2016","11",83.7222222222222,59
"794","2016","11",125.055555555556,68
"795","2016","11",133.444444444444,85
"796","2016","11",115.944444444444,62
"797","2016","11",77.1111111111111,47
"798","2016","11",109.555555555556,46
"799","2016","11",48.3333333333333,64
"800","2016","11",41.5,46
"801","2016","11",60.3333333333333,42
"802","2016","11",88.6111111111111,29
"803","2016","11",104.777777777778,39
"804","2016","11",140.166666666667,58
"805","2016","11",127,71
"806","2016","11",102.166666666667,73
"807","2016","11",140.666666666667,41
"808","2016","11",135.222222222222,49
"809","2016","11",105.388888888889,65
"810","2016","11",150.333333333333,50
"811","2016","11",129.888888888889,74
"812","2016","11",112.888888888889,34
"813","2016","11",86.2777777777778,38
"814","2016","11",72.6111111111111,65
"815","2016","11",82.6111111111111,46
"816","2016","11",81.1666666666667,47
"817","2016","12",146.5,37
"818","2016","12",108.611111111111,36
"819","2016","12",105.333333333333,47
"820","2016","12",58.5555555555556,63
"821","2016","12",66.1666666666667,58
"822","2016","12",106.333333333333,38
"823","2016","12",115.5,35
"824","2016","12",120.388888888889,63
"828","2016","12",144.388888888889,55
"830","2016","12",128.388888888889,25
"831","2016","12",100.555555555556,58
"832","2016","12",91.8333333333333,68
"833","2016","12",99.7222222222222,59
"834","2016","12",73.6666666666667,51
"835","2016","12",74.1111111111111,45
